word,hiragana,romaji,reason,note,pos,category
文面,ぶんめん,bunmen,abstract_word,kanji_only,普通名詞,抽象物
文脈,ぶんみゃく,bunmyaku,abstract_word,kanji_only,普通名詞,抽象物
分配,ぶんぱい,bunpai,abstract_word,kanji_only,サ変名詞,抽象物
分布,ぶんぷ,bunpu,abstract_word,kanji_only,サ変名詞,抽象物
文例,ぶんれい,bunrei,abstract_word,kanji_only,普通名詞,抽象物
分裂,ぶんれつ,bunretsu,abstract_word,kanji_only,サ変名詞,抽象物
分離,ぶんり,bunri,abstract_word,kanji_only,サ変名詞,抽象物
分類,ぶんるい,bunrui,abstract_word,kanji_only,サ変名詞,抽象物
分散,ぶんさん,bunsan,abstract_word,kanji_only,サ変名詞,抽象物
文章,ぶんしょう,bunsho,abstract_word,kanji_only,普通名詞,抽象物
分宿,ぶんしゅく,bunshuku,abstract_word,kanji_only,サ変名詞,抽象物
分担,ぶんたん,buntan,abstract_word,kanji_only,サ変名詞,抽象物
分野,ぶんや,bunya,abstract_word,kanji_only,普通名詞,抽象物
分与,ぶんよ,bunyo,abstract_word,kanji_only,サ変名詞,抽象物
部類,ぶるい,burui,abstract_word,kanji_only,普通名詞,抽象物
不精,ぶしょう,busho,abstract_word,kanji_only,サ変名詞,抽象物
物心,ぶっしん,busshin,abstract_word,kanji_only,普通名詞,抽象物
物色,ぶっしょく,busshoku,abstract_word,kanji_only,サ変名詞,抽象物
物議,ぶつぎ,butsugi,abstract_word,kanji_only,普通名詞,抽象物
物体,ぶったい,buttai,abstract_word,kanji_only,普通名詞,抽象物
武勇,ぶゆう,buyu,abstract_word,kanji_only,普通名詞,抽象物
白夜,びゃくや,byakuya,abstract_word,kanji_only,普通名詞,抽象物
病苦,びょうく,byoku,abstract_word,kanji_only,普通名詞,抽象物
茶番劇,ちゃばんげき,chabangeki,abstract_word,kanji_only,普通名詞,抽象物
茶々,ちゃちゃ,chacha,abstract_word,kanji_only,普通名詞,抽象物
着火,ちゃっか,chakka,abstract_word,kanji_only,サ変名詞,抽象物
着工,ちゃっこう,chakko,abstract_word,kanji_only,サ変名詞,抽象物
着,ちゃく,chaku,abstract_word,kanji_only,普通名詞,抽象物
着地,ちゃくち,chakuchi,abstract_word,kanji_only,サ変名詞,抽象物
着脱,ちゃくだつ,chakudatsu,abstract_word,kanji_only,サ変名詞,抽象物
着眼,ちゃくがん,chakugan,abstract_word,kanji_only,サ変名詞,抽象物
着順,ちゃくじゅん,chakujun,abstract_word,kanji_only,普通名詞,抽象物
着目,ちゃくもく,chakumoku,abstract_word,kanji_only,サ変名詞,抽象物
着席,ちゃくせき,chakuseki,abstract_word,kanji_only,サ変名詞,抽象物
着色,ちゃくしょく,chakushoku,abstract_word,kanji_only,サ変名詞,抽象物
着手,ちゃくしゅ,chakushu,abstract_word,kanji_only,サ変名詞,抽象物
着想,ちゃくそう,chakuso,abstract_word,kanji_only,サ変名詞,抽象物
着水,ちゃくすい,chakusui,abstract_word,kanji_only,サ変名詞,抽象物
知,ち,chi,abstract_word,kanji_only,普通名詞,抽象物
千鳥足,ちどりあし,chidoriashi,abstract_word,kanji_only,普通名詞,抽象物
知恵,ちえ,chie,abstract_word,kanji_only,普通名詞,抽象物
